County,CountyDrinking,Population,BirthDefectCases,BDPrevalence,GDPcap,FIPS,FIPS State,OverdoseRate,Area,PopDensity,Age,BelowPoverty,SmokingRate,Chlamydia,TeenBirth,AirPollution,HousingProblem,Obesity,Diabetes,HigherBD,AfricanA,White
Jack,0.2,"8,472",55,0.0607,55902,48237,48,16.62709,911,10,38.8,26,17,428,39,8.6,10,29,10,0.079,3.9,77
Jackson,0.18,"14,988",112,0.0538,55946,48239,48,11.24533,829,18,39.2,23.2,14,310.5,40,9.5,14,31,11,0.0637,5.9,58.2
Jasper,0.19,"32,980",165,0.04,56246,48241,48,18.42489,939,35,41.9,33.2,17,366.1,50,9.5,12,32,13,0.046,16,74.8
Jeff Davis,0.14,"1,996",,,56301,48243,48,11.17661,"2,265",1,62.9,36.5,15,,34,5.6,9,27,13,,0.6,61.7
Jefferson,0.17,"256,526","1,736",0.0503,56320,48245,48,19.40586,877,287,37.2,29.2,17,578.4,44,10,17,34,13,0.0527,33.3,40.4
Jim Hogg,0.15,"4,838",46,0.0593,56377,48247,48,8.27946,"1,136",4,35.4,53,16,442.3,75,8.1,11,29,10,0.0791,0.6,5.6
Jim Wells,0.16,"38,891",383,0.0655,56424,48249,48,11.44289,865,45,36.1,35.6,15,198.2,62,9.1,17,30,10,0.0721,0.5,17.8
Johnson,0.2,"179,927","1,446",0.0687,56478,48251,48,12.32823,725,300,36.6,18.5,16,296.9,38,10.5,13,30,9,0.0723,3.2,72.2
Jones,0.21,"19,663",93,0.0569,56833,48253,48,9.39924,929,22,38.4,24.7,17,85.1,53,8.1,10,30,10,0.0697,12,58.3
Karnes,0.19,"14,710",108,0.0632,56987,48255,48,8.00355,748,20,35.8,29.8,17,146.9,48,9.4,16,30,9,0.0751,8.6,36.4
Kaufman,0.2,"145,310","1,237",0.0717,57095,48257,48,13.86793,781,271,33.7,18.7,16,333.9,33,10.6,15,31,10,0.0757,11.1,64.1
Kendall,0.2,"44,279",225,0.06,57096,48259,48,9.08007,662,81,43.5,11.7,12,106.5,13,9.2,15,26,9,0.0678,1.1,72
Kenedy,0.15,350,,,57123,48261,48,8.54564,"1,459",0.22,44.8,17.6,15,,,8.4,14,28,11,,2.2,20.9
Kent,0.17,753,,,57209,48263,48,9.19532,903,1,45,9.4,13,,,7.1,11,28,12,,1.3,75.6
Kerr,0.16,"52,598",281,0.0543,57526,48265,48,16.00353,"1,103",49,48.7,22.5,14,111.9,36,8.5,18,29,14,0.0607,1.4,69.1
Kimble,0.16,"4,286",20,0.0454,57616,48267,48,10.78866,"1,251",4,50.8,27.1,14,410.2,47,7.5,12,31,12,0.07,0.5,73
King,0.19,265,,,57772,48269,48,10.29815,911,0.2,46.5,29.1,15,,,7.2,12,29,11,,0,79.1
Kinney,0.15,"3,129",,,57977,48271,48,6.01118,"1,361",2,42.5,26.3,16,140.9,51,7.6,8,29,11,,1.1,37.1
Kleberg,0.18,"31,040",233,0.0548,58181,48273,48,10.08087,881,33,28.9,36.2,16,765.9,37,9.1,19,28,9,0.0619,3.5,20.3
Knox,0.17,"3,353",17,0.0368,58475,48275,48,11.30562,851,4,39.8,26.6,15,285,24,7.8,10,29,12,0.0589,5,58.1
La Salle,0.18,"50,088",45,0.0497,58522,48277,48,13.8798,"1,487",4,38.9,32.2,18,612.9,51,9.9,15,34,13,0.0665,12.9,74.4
Lamar,0.16,"13,045",286,0.0438,58609,48279,48,12.55914,907,58,37.1,28.8,18,425.8,58,7.5,11,32,11,0.0489,3.6,38.8
Lamb,0.15,"21,627",109,0.0604,58644,48281,48,10.09629,"1,016",12,44.1,29.4,15,427.4,37,9,13,30,10,0.0717,3.5,72
Lampasas,0.18,"6,664",146,0.0668,58742,48283,48,9.71388,713,34,33.2,20.3,16,235.9,66,8.2,19,28,8,0.0776,0.6,12
Lavaca,0.18,"20,337",112,0.0487,58852,48285,48,7.91923,970,21,43.6,21.2,14,161.3,33,9.6,13,31,12,0.0578,6,73.5
Lee,0.19,"17,478",110,0.0545,58912,48287,48,9.45887,629,30,42.8,26.9,15,159.8,36,9.7,13,32,12,0.0646,10.7,63.4
Leon,0.16,"15,719",111,0.0551,58933,48289,48,15.93441,"1,073",16,44.1,23.7,16,333.6,50,9.7,12,30,13,0.0653,6.9,76.1
Liberty,0.19,"91,628",699,0.0602,58961,48291,48,21.6353,"1,158",104,32.3,29.9,17,403,53,10.3,16,29,11,0.0646,9.7,63.3
Limestone,0.17,"22,146",207,0.0735,59092,48293,48,11.22336,905,25,41.4,30.7,18,360.2,53,9.9,14,34,12,0.0835,16.9,58.3
Lipscomb,0.2,"3,059",,,59148,48295,48,12.52036,932,3,40.8,25.3,14,,47,7,8,28,10,,0.8,62
Live Oak,0.18,"11,335",68,0.0541,59542,48297,48,7.92172,"1,040",11,40.2,30.8,15,539.7,32,9.2,13,29,11,0.0686,4.2,53.8
Llano,0.16,"21,243",117,0.0681,59578,48299,48,18.28485,934,25,57.4,21.9,14,101,49,8.8,13,28,13,0.0804,1,86.1
Loving,0.19,64,,,59827,48301,48,18.13733,669,0.06,36.5,14.8,19,,,6.6,18,29,10,,3.7,76.1
Lubbock,0.19,"310,639","2,641",0.065,59997,48303,48,13.73833,896,365,32,27.1,16,724.7,36,8.2,19,32,8,0.0674,7,53.5
Lynn,0.17,"5,596",56,0.0737,60088,48305,48,10.97136,892,7,37.1,32.5,17,331.9,51,7.4,13,28,11,0.0957,1.9,49.3
Madison,0.2,"7,630",77,0.047,60392,48307,48,9.55694,466,30,44.5,25.4,16,263.8,47,7.8,17,29,11,0.0587,1.8,63.5
Marion,0.16,"260,579",49,0.0538,60434,48309,48,10.83616,381,25,34,30.2,16,738,36,10.4,19,31,10,0.0712,14.1,56
Martin,0.19,600,63,0.0695,60604,48311,48,8.74563,915,6,43,15,13,,,8.5,18,32,11,0.089,2.6,53.5
Mason,0.16,"13,455",,,61028,48313,48,11.25868,929,4,34.4,17.1,17,383.9,47,9.8,21,29,10,,19.7,54.9
Matagorda,0.17,"9,725",274,0.0518,61181,48315,48,19.16737,"1,093",34,50.8,31.8,17,413.4,44,9.9,14,32,14,0.0579,21,71.1
Maverick,0.15,"5,237",534,0.05,61576,48317,48,13.2503,"1,279",45,33.5,37.6,15,212.7,60,7.5,16,30,9,0.0542,1.7,49.6
McCulloch,0.16,"3,953",43,0.052,61595,48319,48,8.69663,"1,066",7,51.6,24.3,13,,23,7.8,15,28,13,0.07,0.6,72.7
McLennan,0.18,"36,255","2,558",0.0748,61904,48321,48,11.10896,"1,037",264,38.1,27.1,17,304.6,56,9.8,16,31,12,0.0777,10.3,43.8
McMullen,0.17,"57,887",,,61988,48323,48,5.50136,"1,140",0.5,30.5,34.8,17,537.2,68,8.2,25,30,10,,0.3,2.8
Medina,0.18,"50,748",397,0.0688,62073,48325,48,6.53512,"1,325",43,40,18.5,14,200.3,34,9.4,14,32,12,0.0756,2.4,43.8
Menard,0.15,"1,962",,,62085,48327,48,10.89534,902,2,52.7,23.4,13,,34,7.4,11,29,13,,1.3,61.6
Midland,0.21,"169,983","2,097",0.0736,62126,48329,48,11.8023,900,208,32.7,16.5,14,557.5,55,7.9,15,33,8,0.0768,5.9,45.5
Milam,0.17,"24,754",207,0.0701,62484,48331,48,11.15355,"1,016",26,42.1,24.1,16,526.3,45,9.9,15,32,11,0.0797,8.8,62
Mills,0.16,"4,456",19,0.0482,62631,48333,48,11.34585,748,6,49.3,17.2,14,122.4,36,8.2,13,28,12,0.0753,0.8,79
Mitchell,0.21,"8,990",40,0.0442,62665,48335,48,10.80888,911,10,35.5,27.5,14,286.8,64,7.4,7,31,9,0.0602,9.8,48.5
Montague,0.18,"19,965",149,0.0689,62676,48337,48,22.81265,931,24,42.7,21.1,16,150.6,38,9.1,14,28,11,0.0799,0.5,85.7
Montgomery,0.21,"620,443","4,470",0.0621,62907,48339,48,17.07072,"1,042",744,37.1,15.8,14,274,28,11.4,15,24,9,0.0639,4.9,66.2
Moore,0.17,"21,358",208,0.0506,62964,48341,48,8.7674,900,24,31.6,28,17,305.5,76,6.9,18,31,9,0.0575,3.3,32.2
Morris,0.17,"11,973",92,0.0629,62988,48343,48,13.98129,252,48,42.4,26.9,16,463.4,44,9.8,13,32,13,0.0772,22.5,63.8
Motley,0.16,"1,063",,,63169,48345,48,10.27585,990,1,49.1,17.9,15,,,7,7,28,12,,2.4,79.3
Nacogdoches,0.17,"64,653",386,0.0462,63450,48347,48,13.75113,946,70,32.1,34,17,907.7,26,9.9,19,34,13,0.0508,17.9,59.4
Navarro,0.17,"52,624",411,0.0595,64084,48349,48,11.91041,"1,010",57,36.1,29.4,17,507,62,10.2,17,28,11,0.0652,12.8,56.2
Newton,0.18,"12,217",60,0.0468,64203,48351,48,23.12996,934,13,46.3,39.3,17,293.2,42,9.5,5,31,12,0.0602,20,73
Nolan,0.18,"14,738",99,0.0492,64553,48353,48,15.59163,912,15,39.1,35.1,16,661.9,69,7.6,13,31,11,0.0599,4.4,55.2
Nueces,0.19,"353,178","3,151",0.0671,64574,48355,48,22.64387,839,422,37.3,26.7,14,734.2,44,9.9,18,34,12,0.0695,3.5,29.4
Ochiltree,0.2,"10,015",57,0.0354,64671,48357,48,9.19917,918,11,32.8,30.6,15,279.1,61,7.1,14,30,10,0.0458,0.5,42.8
Oldham,0.19,"1,758",,,64762,48359,48,15.68856,"1,501",1,42.1,24.7,16,,23,6.1,12,29,10,,3.3,77.8
Orange,0.21,"84,808",600,0.0541,65314,48361,48,33.68338,334,261,37.5,22.3,18,282.5,47,9.8,13,34,12,0.0585,8.6,80.7
Palo Pinto,0.18,"28,409",194,0.0551,65386,48363,48,18.45182,953,32,41.2,26.9,17,362.1,54,9.1,18,30,11,0.0628,2.3,75.2
Panola,0.18,"22,491",127,0.0461,65420,48365,48,12.9158,811,28,41.1,21.1,16,357.7,45,10,11,34,12,0.0541,15.6,73.2
Parker,0.21,"148,222","1,040",0.0686,65441,48367,48,14.98868,904,209,39.5,13.6,14,279.3,27,10,13,31,9,0.0728,1.4,83.6
Parmer,0.18,"9,869",65,0.042,65765,48369,48,7.70617,881,11,35.5,21.5,16,359,47,7,13,32,10,0.0536,1.1,34.2
Pecos,0.2,"15,193",88,0.0428,65814,48371,48,8.93849,"4,764",3,36.4,34.1,14,345.6,72,7,12,32,10,0.0527,3.6,25.6
Polk,0.17,"50,123",232,0.0454,65907,48373,48,23.68062,"1,057",53,43.4,27.1,17,321.5,55,9.9,15,34,12,0.0512,10,70.9
Potter,0.18,"118,525","1,203",0.066,66521,48375,48,17.8178,908,126,35.1,34,18,802.9,67,7.5,21,35,10,0.0698,9.8,44.1
Presidio,0.13,"6,131",47,0.0437,66721,48377,48,7.59778,"3,855",1,39,42.4,16,349,73,5.9,11,28,12,0.0581,0.9,11.8
Rains,0.19,"12,164",80,0.0746,66751,48379,48,14.10525,229,58,47.3,20.3,14,250.9,32,10,17,30,14,0.0929,2.3,85.5
Randall,0.21,"140,753","1,042",0.0633,66887,48381,48,12.95449,913,167,37,17,14,183.5,27,7.5,12,26,9,0.0671,3,71.6
Reagan,0.18,"3,385",32,0.0531,67092,48383,48,16.49248,"1,175",3,35.3,22.8,16,448.3,64,7.2,14,29,9,0.0749,2.4,27.1
Real,0.15,"2,758",19,0.0574,67112,48385,48,8.74758,699,4,52.3,31.5,15,121,40,7.5,10,29,13,0.0896,0.7,68.9
Red River,0.16,"11,587",67,0.0533,67115,48387,48,14.44912,"1,044",11,46.3,30.1,16,337.2,46,9.8,14,38,15,0.0676,16.4,73
Reeves,0.19,"14,748",103,0.0527,67573,48389,48,17.23697,"2,635",5,33.6,35.4,16,488.7,83,6.7,10,30,8,0.0628,4.7,17.9
Refugio,0.17,"6,741",53,0.0687,67647,48391,48,14.38125,770,9,42.6,28.4,14,425.3,50,9.3,12,29,12,0.0898,5.7,41.9
Roberts,0.21,827,,,68361,48393,48,11.5661,924,1,41.8,7.8,13,,,6.8,5,28,11,,0,85.8
Robertson,0.18,"16,757",137,0.0652,68799,48395,48,13.79214,855,21,41.6,23.6,16,696.3,48,9.8,15,32,12,0.0761,19.4,57.5
Rockwall,0.21,"107,819",720,0.0677,69038,48397,48,10.28378,127,"1,159",37.3,7.4,13,221.2,13,10.5,14,25,10,0.0726,6.2,71.2
Runnels,0.17,"9,900",58,0.0539,69691,48399,48,8.13017,"1,051",9,41.2,22.2,15,199,38,7.8,8,30,12,0.0696,2,61.6
Rusk,0.17,"52,214",270,0.0449,70580,48401,48,11.76244,924,59,39.3,24.3,17,282.6,49,10.2,12,36,15,0.0503,16.7,64.1
Sabine,0.15,"9,894",48,0.0485,71357,48403,48,15.18083,492,21,53.9,25.5,17,270.1,44,9.2,15,33,13,0.0643,6.9,86.1
