County,CountyDrinking,Population,BirthDefectCases,BDPrevalence,GDPcap,FIPS,FIPS State,OverdoseRate,Area,PopDensity,Age,BelowPoverty,SmokingRate,Chlamydia,TeenBirth,AirPollution,HousingProblem,Obesity,Diabetes,HigherBD,AfricanA,White
Wichita,0.18,"129,350",725,0.0435,107013,48485,48,21.62671,628,207,35.2,24.2,20,605.9,45,8.8,15,32,13,0.0466,10.5,65.3
Wilbarger,0.18,"12,887",77,0.0481,107395,48487,48,15.37106,971,13,40.2,37.5,17,391.5,53,8,13,29,12,0.0601,7.4,58.1
Willacy,0.15,"20,164",126,0.0462,108479,48489,48,6.8554,591,33,33.8,44,20,351.6,55,8.8,19,31,10,0.0543,1.9,8.9
Williamson,0.22,"609,017","3,732",0.0566,110116,48491,48,9.02586,"1,116",669,37.2,11,13,259,17,10.4,13,31,8,0.0584,6.4,59.6
Wilson,0.19,"49,753",358,0.0673,117599,48493,48,8.43259,804,71,40.8,16.4,13,157.8,24,9.9,13,35,11,0.0743,1.4,57.2
Winkler,0.19,"7,791",70,0.0565,132049,48495,48,20.32125,841,9,34.7,18.6,16,274.8,61,7,10,31,9,0.0714,2,35.2
Wise,0.2,"68,632",493,0.0628,139825,48497,48,14.73455,904,93,38.9,17.3,15,139.8,32,9.9,12,31,12,0.0683,1.4,76.5
Wood,0.18,"44,843",243,0.0603,141712,48499,48,15.98156,645,77,48.1,21.4,15,235.3,34,10.1,15,29,13,0.0678,5.2,82.4
Yoakum,0.19,"7,694",57,0.0375,144532,48501,48,15.06413,800,9,30.7,18.9,14,257.4,57,7.3,13,29,9,0.0486,0.9,30.9
Young,0.18,"17,867",118,0.0544,155670,48503,48,27.26403,914,20,40.7,22.4,15,268.2,50,8.2,10,32,13,0.0642,1.2,77.8
Zapata,0.15,"13,889",115,0.047,173932,48505,48,8.91432,998,14,31.2,50.4,18,243.5,79,7.9,23,29,9,0.0555,0.2,4.9
Zavala,0.14,"9,670",89,0.0504,223419,48507,48,9.85479,"1,297",7,32.7,57.3,20,122.6,70,8.3,23,28,9,0.0621,0.5,5.1
